Stop,Boarders_MCRbound,Alighters_MCRbound,Boarders_BuryBound,Alighters_BuryBound,Boarders_all,Alighters_all,Total_Passengers,Month,Time,Date,Anomaly
Bury Interchange,384,0,0,105,384,105,489,Feb_17,Before  07:30,Wednesday,1
Radcliffe,330,7,36,18,366,25,391,Feb_17,Before  07:30,Wednesday,1
Whitefield,154,4,31,10,185,14,199,Feb_17,Before  07:30,Wednesday,1
Besses O'th'Barn,106,12,19,12,125,24,149,Feb_17,Before  07:30,Wednesday,1
Prestwich,50,15,7,15,57,30,87,Feb_17,Before  07:30,Wednesday,0
Heaton Park,84,9,7,6,91,15,106,Feb_17,Before  07:30,Wednesday,1
Bowker Vale,101,2,15,2,116,4,120,Feb_17,Before  07:30,Wednesday,1
Crumpsall,73,14,18,7,91,21,112,Feb_17,Before  07:30,Wednesday,1
Abraham Moss,26,7,4,8,30,15,45,Feb_17,Before  07:30,Wednesday,0
Queens Road,16,16,3,4,19,20,39,Feb_17,Before  07:30,Wednesday,0
Bury Interchange,914,0,0,978,914,978,1892,Feb_17,AM Peak 07:30-09:30,Wednesday,0
Radcliffe,805,52,237,101,1042,153,1195,Feb_17,AM Peak 07:30-09:30,Wednesday,1
Whitefield,655,89,131,57,786,146,932,Feb_17,AM Peak 07:30-09:30,Wednesday,1
Besses O'th'Barn,383,53,125,47,508,100,608,Feb_17,AM Peak 07:30-09:30,Wednesday,1
Prestwich,283,89,158,219,441,308,749,Feb_17,AM Peak 07:30-09:30,Wednesday,0
Heaton Park,276,320,99,66,375,386,761,Feb_17,AM Peak 07:30-09:30,Wednesday,0
Bowker Vale,296,21,171,15,467,36,503,Feb_17,AM Peak 07:30-09:30,Wednesday,1
Crumpsall,315,107,169,82,484,189,673,Feb_17,AM Peak 07:30-09:30,Wednesday,0
Abraham Moss,179,55,171,67,350,122,472,Feb_17,AM Peak 07:30-09:30,Wednesday,0
Queens Road,53,37,12,24,65,61,126,Feb_17,AM Peak 07:30-09:30,Wednesday,0
Bury Interchange,1600,0,0,2562,1600,2562,4162,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Radcliffe,365,142,329,146,694,288,982,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Whitefield,385,155,343,173,728,328,1056,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Besses O'th'Barn,205,85,181,66,386,151,537,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Prestwich,256,186,252,151,508,337,845,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Heaton Park,148,98,195,56,343,154,497,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Bowker Vale,194,82,183,64,377,146,523,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Crumpsall,257,84,173,115,430,199,629,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Abraham Moss,202,72,171,83,373,155,528,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Queens Road,101,51,36,65,137,116,253,Feb_17,Off-peak 09:30-13:30,Wednesday,0
Bury Interchange,1511,0,0,805,1511,805,2316,Feb_17,13:30-15:59,Wednesday,0
Radcliffe,149,186,120,362,269,548,817,Feb_17,13:30-15:59,Wednesday,0
